"date"	"title"	"link"	"Status"	"File"	"Notes"
"20140516"	"Rolling Code"	"http://programmingpraxis.com/2014/05/16/rolling-code/"			
"20140514"	"Three interview questions"	"http://programmingpraxis.com/2014/05/13/three-interview-questions-2/"	"S"	"solutions/20140514_three_interview_questions.ipynb"	"Multiple"
"20140509"	"Cluster"	"http://programmingpraxis.com/2014/05/09/cluster/"			
"20140506"	"Packed Ascii"	"http://programmingpraxis.com/2014/05/06/packed-ascii/"			
"20140502"	"Binary Reflected Gray Code"	"http://programmingpraxis.com/2014/05/02/binary-reflected-gray-code/"	"S"	"solutions/20140502_Binary_Reflected_Gray_Code.ipynb"	"Binary"
"20140429"	"Solovay-Strassen Primality Testing"	"http://programmingpraxis.com/2014/04/29/solovay-strassen-primality-testing/"			
"20140423"	"Assembler, Part 3"	"http://programmingpraxis.com/2014/04/23/assembler-part-3/"			
"20140418"	"Assembler, Part 2"	"http://programmingpraxis.com/2014/04/18/assembler-part-2/"			
"20140415"	"Assembler, Part 1"	"http://programmingpraxis.com/2014/04/15/assembler-part-1/"			
"20140411"	"Plotter"	"http://programmingpraxis.com/2014/04/11/plotter/"			
"20140408"	"Formatted Output"	"http://programmingpraxis.com/2014/04/08/formatted-output/"			
"20140404"	"Factoring With Bicycle Chains"	"http://programmingpraxis.com/2014/04/04/factoring-with-bicycle-chains/"			
"20140401"	"Factoring By Digital Coding"	"http://programmingpraxis.com/2014/04/01/factoring-by-digital-coding/"			
"20140328"	"Brent’s Root Finder"	"http://programmingpraxis.com/2014/03/28/brents-root-finder/"			
"20140324"	"Factoring RSA Moduli"	"http://programmingpraxis.com/2014/03/24/factoring-rsa-moduli/"			
"20140321"	"Root Finding, Again"	"http://programmingpraxis.com/2014/03/21/root-finding-again/"			
"20140318"	"Lucky Numbers"	"http://programmingpraxis.com/2014/03/18/lucky-numbers/"			
"20140314"	"Root Finding"	"http://programmingpraxis.com/2014/03/14/root-finding/"	"S"	"solutions/20140314_Root_Finding.ipynb"	"solvers"
"20140311"	"Caesar Cipher"	"http://programmingpraxis.com/2014/03/11/caesar-cipher/"			
"20140307"	"Combined N±1 Primality Prover"	"http://programmingpraxis.com/2014/03/07/combined-n1-primality-prover/"			
"20140304"	"Learn A New Language"	"http://programmingpraxis.com/2014/03/04/learn-a-new-language-3/"			
"20140228"	"Profiling"	"http://programmingpraxis.com/2014/02/28/profiling/"			
"20140225"	"Crossing Hands"	"http://programmingpraxis.com/2014/02/25/crossing-hands/"			
"20140221"	"Anagrams Within Words"	"http://programmingpraxis.com/2014/02/21/anagrams-within-words/"			
"20140218"	"Two Interview Questions"	"http://programmingpraxis.com/2014/02/18/two-interview-questions/"			
